COMPLEXID,SEGMENTID,the_geom,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
274,9007479,-73.81312338799073 40.734972555367776,X,1,6488,3,4455431,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014509,5143012,POMONOK PROJECTS BUILDING 8
274,226452,-73.81178080540731 40.73477877741127,X,2,6773,3,4455419,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014507,161243,POMONOK PROJECTS BUILDING 6
274,9007483,-73.81283713808075 40.73403373824835,X,1,7650,3,4455432,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014514,161256,POMONOK PROJECTS BUILDING 13
274,226452,-73.81256162639805 40.735525213198684,X,2,13819,3,4455417,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014508,161241,POMONOK PROJECTS BUILDING 7
274,9005874,-73.81131218059848 40.73088742867829,X,2,13535,3,4451593,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014536,161234,POMONOK HOUSES BUILDING 35
274,9007482,-73.8144576749443 40.73419730792902,X,1,8352,3,4455435,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014511,161259,POMONOK HOUSES BUILDING 10
274,9007718,-73.81230441928805 40.73174770387252,X,2,12600,3,4451590,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014528,161231,POMONOK PROJECTS BUILDING 27
274,9008999,-73.81101721938641 40.73414591371853,X,2,13360,3,4455421,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014517,161245,POMONOK PROJECTS BUILDING 16
274,9005410,-73.81342363191999 40.73065037202471,X,1,7995,3,4451587,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014533,9220470,POMONOK PROJECTS BUILDING 32
274,9005868,-73.81115496631985 40.7318003523917,X,2,6600,3,4451592,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014526,161233,POMONOK PROJECTS BUILDING 25
274,226452,-73.81111133747984 40.73514504552101,X,2,17715,3,4455420,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014505,161244,POMONOK HOUSES BUILDING 4
274,226451,-73.81143388581022 40.73634880140317,X,2,12616,3,4455415,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014503,161239,POMONOK HOUSES BUILDING 2
274,9007708,-73.81230143076797 40.732732284787666,X,1,7373,3,4455429,4,05/14/2009 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41014521,5143050,POMONOK PROJECTS BUILDING 20
200,9000210,-73.79056515901793 40.70812950984454,G,2,19939,3,4209721,4,09/15/2008 12:00:00 AM +0000,01/22/2013 12:00:00 AM +0000,1,DCP,41311501,233057,INTERNATIONAL TOWER
165,9002702,-73.89994715747993 40.83364111677292,G,1,7919,3,2009780,2,05/14/2009 12:00:00 AM +0000,01/23/2013 12:00:00 AM +0000,1,NYCHA,20022801,2017565,FRANKLIN 3 HOUSES
335,9004630,-73.96474008210022 40.70433239529812,X,2,1017255,3,3059901,3,12/06/2012 12:00:00 AM +0000,01/23/2013 12:00:00 AM +0000,1,OTHER,31184502,3313582,TAYLOR ST WYTHE AVE BUILDING 1
335,9007237,-73.9642493712391 40.70353779574723,X,1,1017256,3,3059903,3,12/06/2012 12:00:00 AM +0000,01/23/2013 12:00:00 AM +0000,1,OTHER,31184503,3076272,TAYLOR ST WYTHE AVE BUILDING 2
